model,features,label_set,attribute,threshold,n_selected,DPD,DPD_ci_lo,DPD_ci_hi,DIR,DIR_ci_lo,DIR_ci_hi,EEOC_pass,chi2_p,EOD_labels,share_delta,median_split_DIR,median_split_DPD
M3-Gender-Biased (CV7),cv7,gender-bias,ethnicity,0.02,96,0.008468741286301559,0.0016444225846382048,0.018759589925038418,0.6460957588777138,0.35913179115032934,0.9219702089951716,False,0.2242900053299185,0.3188405797101449,0.13541666666666663,0.9653766591404443,0.0167581311244995
M3-Gender-Biased (CV7),cv7,gender-bias,ethnicity,0.05,240,0.010010022817904592,0.0024920858447199843,0.02541249125155803,0.8143489954121184,0.5879647914332023,0.9514837149911539,True,0.37707980523179213,0.13855421686746983,0.0625,0.9653766591404443,0.0167581311244995
M3-Gender-Biased (CV7),cv7,gender-bias,ethnicity,0.1,480,0.0004990083807817763,0.0024121509182546855,0.029476838851967228,0.9950191570881226,0.7454654938850974,0.9761415296389684,True,0.9986809409692718,0.031887150308202994,0.006250000000000033,0.9653766591404443,0.0167581311244995
M3-Gender-Biased (CV7),cv7,gender-bias,ethnicity,0.2,960,0.018606634397479532,0.004126072845639832,0.04587472593369908,0.9103396318308766,0.7910001668803096,0.9795725354136327,True,0.3858488716286082,0.03845448490873815,0.03229166666666666,0.9653766591404443,0.0167581311244995
M3-Gender-Biased (CV7),cv7,gender-bias,ethnicity,0.3,1440,0.0081026981357043,0.003928283498476554,0.046572115270557414,0.9734078116739746,0.8553047789424922,0.9869835463307172,True,0.8744308811883353,0.02098670756646215,0.010416666666666685,0.9653766591404443,0.0167581311244995
M3-Gender-Biased (CV7),cv7,gender-bias,ethnicity,0.5,2400,0.02230679942831426,0.006114628820539392,0.05890687462222086,0.9563443618550169,0.88794653665767,0.9878336822639321,True,0.45276492969471027,0.06773341568790192,0.016250000000000042,0.9653766591404443,0.0167581311244995
M4-Ethnicity-Biased (CV7),cv7,eth-bias,gender,0.02,96,0.0006168132669031948,0.0001500427468355989,0.009235096231951543,0.9696347968814115,0.6249862532097685,0.9925254358797795,True,0.9605263774032873,0.11888111888111885,0.0,0.9799592135296608,0.0095581745036277
M4-Ethnicity-Biased (CV7),cv7,eth-bias,gender,0.05,240,0.0007085017254969128,0.000250187641112176,0.014795585469475295,0.9859311800222755,0.743094850947971,0.9950090616705073,True,0.9630200158294273,0.052236732425673726,-0.008333333333333304,0.9799592135296608,0.0095581745036277
M4-Ethnicity-Biased (CV7),cv7,eth-bias,gender,0.1,480,0.0022505348927548963,0.00025017238440863676,0.02017350981030825,0.9777488956000845,0.8167060985935806,0.9975014834941753,True,0.832325280920994,0.060901001112347086,-0.004166666666666652,0.9799592135296608,0.0095581745036277
M4-Ethnicity-Biased (CV7),cv7,eth-bias,gender,0.2,960,0.0045010697855097925,0.00033363696911390057,0.02652395928095489,0.9777488956000845,0.8757490159077799,0.9983331635958504,True,0.7235869039362259,0.011081162024558222,-0.004166666666666652,0.9799592135296608,0.0095581745036277
